Dataset,Attack,Model,Metric,Value
german,pgd_l_1,lr,eval_Sparsity,4.3072915
german,pgd_l_1,lr,eval_Neighbour_Distance,0.05249065
german,pgd_l_1,svc,eval_L1,0.10651353
german,pgd_l_1,svc,eval_L2,0.057658892
german,pgd_l_1,svc,eval_Linf,0.041105825
german,pgd_l_1,svc,eval_Sen,0.11576142
german,pgd_l_1,svc,eval_Mahalanobis,0.011891234
german,pgd_l_1,svc,eval_Sparsity,4.3125
german,pgd_l_1,svc,eval_Neighbour_Distance,0.057658892
german,pgd_l_1,nn_2,eval_L1,0.07080634
german,pgd_l_1,nn_2,eval_L2,0.03980348
german,pgd_l_1,nn_2,eval_Linf,0.029645089
german,pgd_l_1,nn_2,eval_Sen,0.07387872
german,pgd_l_1,nn_2,eval_Mahalanobis,0.008681368
german,pgd_l_1,nn_2,eval_Sparsity,4.4166665
german,pgd_l_1,nn_2,eval_Neighbour_Distance,0.03980348
german,pgd_l_2,lr,eval_L1,0.41972438
german,pgd_l_2,lr,eval_L2,0.22451112
german,pgd_l_2,lr,eval_Linf,0.1438643
german,pgd_l_2,lr,eval_Sen,0.4493788
german,pgd_l_2,lr,eval_Mahalanobis,0.048359476
german,pgd_l_2,lr,eval_Sparsity,4.3072915
german,pgd_l_2,lr,eval_Neighbour_Distance,0.22451112
german,pgd_l_2,svc,eval_L1,0.42412132
german,pgd_l_2,svc,eval_L2,0.23069826
german,pgd_l_2,svc,eval_Linf,0.16528371
german,pgd_l_2,svc,eval_Sen,0.4582389
german,pgd_l_2,svc,eval_Mahalanobis,0.04809371
german,pgd_l_2,svc,eval_Sparsity,4.3125
german,pgd_l_2,svc,eval_Neighbour_Distance,0.23069826
german,pgd_l_2,nn_2,eval_L1,0.30880868
german,pgd_l_2,nn_2,eval_L2,0.17441858
german,pgd_l_2,nn_2,eval_Linf,0.13171051
german,pgd_l_2,nn_2,eval_Sen,0.32196635
german,pgd_l_2,nn_2,eval_Mahalanobis,0.038091686
german,pgd_l_2,nn_2,eval_Sparsity,4.40625
german,pgd_l_2,nn_2,eval_Neighbour_Distance,0.17441858
german,pgd_l_inf,lr,eval_L1,1.1881629
german,pgd_l_inf,lr,eval_L2,0.5837363
german,pgd_l_inf,lr,eval_Linf,0.3
german,pgd_l_inf,lr,eval_Sen,1.1172009
german,pgd_l_inf,lr,eval_Mahalanobis,0.1519429
german,pgd_l_inf,lr,eval_Sparsity,4.3072915
german,pgd_l_inf,lr,eval_Neighbour_Distance,0.5829907
german,pgd_l_inf,svc,eval_L1,1.1893864
german,pgd_l_inf,svc,eval_L2,0.5839727
german,pgd_l_inf,svc,eval_Linf,0.3
german,pgd_l_inf,svc,eval_Sen,1.1177655
german,pgd_l_inf,svc,eval_Mahalanobis,0.15205401
german,pgd_l_inf,svc,eval_Sparsity,4.3125
german,pgd_l_inf,svc,eval_Neighbour_Distance,0.5832271
german,pgd_l_inf,nn_2,eval_L1,1.1868799
german,pgd_l_inf,nn_2,eval_L2,0.58257747
german,pgd_l_inf,nn_2,eval_Linf,0.3
german,pgd_l_inf,nn_2,eval_Sen,1.1130184
german,pgd_l_inf,nn_2,eval_Mahalanobis,0.15947743
german,pgd_l_inf,nn_2,eval_Sparsity,4.328125
german,pgd_l_inf,nn_2,eval_Neighbour_Distance,0.5821575
